name,slug,value,date_of_information,ranking,region
Kiribati,kiribati,"$423,549,000",2023,215,Australia and Oceania
"Korea, North",korea-north,"$40,000,000,000",2015,138,East and Southeast Asia
"Korea, South",korea-south,"$2,615,000,000,000",2023,14,East and Southeast Asia
Kosovo,kosovo,"$23,962,000,000",2023,157,Europe
Kuwait,kuwait,"$225,481,000,000",2023,72,Middle East
Kyrgyzstan,kyrgyzstan,"$45,461,000,000",2023,131,Central Asia
Laos,laos,"$64,173,000,000",2023,113,East and Southeast Asia
Latvia,latvia,"$69,479,000,000",2023,110,Europe
Lebanon,lebanon,"$65,818,000,000",2023,112,Middle East
Lesotho,lesotho,"$6,000,000,000",2023,175,Africa
Liberia,liberia,"$8,882,000,000",2023,169,Africa
Libya,libya,"$91,161,000,000",2023,100,Africa
Liechtenstein,liechtenstein,"$4,978,000,000",2014,186,Europe
Lithuania,lithuania,"$134,219,000,000",2023,90,Europe
Luxembourg,luxembourg,"$88,533,000,000",2023,102,Europe
Macau,macau,"$71,248,000,000",2023,109,East and Southeast Asia
Madagascar,madagascar,"$51,265,000,000",2023,123,Africa
Malawi,malawi,"$34,789,000,000",2023,142,Africa
Malaysia,malaysia,"$1,153,000,000,000",2023,29,East and Southeast Asia
Maldives,maldives,"$11,723,000,000",2023,164,South Asia
Mali,mali,"$56,919,000,000",2023,118,Africa
Malta,malta,"$33,787,000,000",2023,144,Europe
Marshall Islands,marshall-islands,"$263,507,000",2023,218,Australia and Oceania
Mauritania,mauritania,"$31,434,000,000",2023,147,Africa
Mauritius,mauritius,"$33,532,000,000",2023,145,Africa
Mexico,mexico,"$2,873,000,000,000",2023,13,North America
"Micronesia, Federated States of",micronesia-federated-states-of,"$437,759,000",2023,214,Australia and Oceania
Moldova,moldova,"$38,969,000,000",2023,139,Europe
Monaco,monaco,"$7,672,000,000",2015,171,Europe
Mongolia,mongolia,"$56,474,000,000",2023,120,East and Southeast Asia
Montenegro,montenegro,"$17,173,000,000",2023,159,Europe
Morocco,morocco,"$339,603,000,000",2023,58,Africa
Mozambique,mozambique,"$50,844,000,000",2023,125,Africa
Namibia,namibia,"$29,944,000,000",2023,148,Africa
Nauru,nauru,"$147,996,000",2023,221,Australia and Oceania
Nepal,nepal,"$144,310,000,000",2023,84,South Asia
Netherlands,netherlands,"$1,277,000,000,000",2023,26,Europe
New Caledonia,new-caledonia,"$10,266,000,000",2021,167,Australia and Oceania
New Zealand,new-zealand,"$255,026,000,000",2023,68,Australia and Oceania
Nicaragua,nicaragua,"$51,088,000,000",2023,124,Central America and the Caribbean
Niger,niger,"$44,561,000,000",2023,132,Africa
Nigeria,nigeria,"$1,275,000,000,000",2023,27,Africa
Niue,niue,"$18,700,000",2021,223,Australia and Oceania
North Macedonia,north-macedonia,"$43,108,000,000",2023,135,Europe
Northern Mariana Islands,northern-mariana-islands,"$1,242,000,000",2016,207,Australia and Oceania
Norway,norway,"$499,357,000,000",2023,49,Europe
Oman,oman,"$193,445,000,000",2023,78,Middle East
Pakistan,pakistan,"$1,346,000,000,000",2023,25,South Asia
Palau,palau,"$280,025,000",2023,216,Australia and Oceania
Panama,panama,"$159,908,000,000",2023,80,Central America and the Caribbean
Papua New Guinea,papua-new-guinea,"$43,371,000,000",2023,133,East and Southeast Asia
Paraguay,paraguay,"$108,022,000,000",2023,95,South America
Peru,peru,"$517,644,000,000",2023,48,South America
Philippines,philippines,"$1,138,000,000,000",2023,31,East and Southeast Asia
Poland,poland,"$1,628,000,000,000",2023,19,Europe
Portugal,portugal,"$441,697,000,000",2023,52,Europe
Puerto Rico,puerto-rico,"$137,828,000,000",2023,86,Central America and the Caribbean
Qatar,qatar,"$308,522,000,000",2023,61,Middle East
Romania,romania,"$775,064,000,000",2023,34,Europe
Russia,russia,"$5,816,000,000,000",2023,4,Central Asia
Rwanda,rwanda,"$42,701,000,000",2023,136,Africa
Saint Kitts and Nevis,saint-kitts-and-nevis,"$1,422,000,000",2023,204,Central America and the Caribbean
Saint Lucia,saint-lucia,"$4,196,000,000",2023,191,Central America and the Caribbean
Saint Pierre and Miquelon,saint-pierre-and-miquelon,"$261,300,000",2015,219,North America
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,"$1,858,000,000",2023,203,Central America and the Caribbean
Samoa,samoa,"$1,366,000,000",2023,205,Australia and Oceania
San Marino,san-marino,"$2,393,000,000",2022,198,Europe
Sao Tome and Principe,sao-tome-and-principe,"$1,279,000,000",2023,206,Africa
Saudi Arabia,saudi-arabia,"$1,831,000,000,000",2023,18,Middle East
Senegal,senegal,"$78,045,000,000",2023,105,Africa
Serbia,serbia,"$172,402,000,000",2023,79,Europe
Seychelles,seychelles,"$3,530,000,000",2023,194,Africa
Sierra Leone,sierra-leone,"$25,671,000,000",2023,156,Africa
Singapore,singapore,"$754,758,000,000",2023,36,East and Southeast Asia
Sint Maarten,sint-maarten,"$1,919,000,000",2023,202,Central America and the Caribbean
Slovakia,slovakia,"$213,219,000,000",2023,76,Europe
Slovenia,slovenia,"$102,299,000,000",2023,98,Europe
Solomon Islands,solomon-islands,"$2,027,000,000",2023,200,Australia and Oceania
Somalia,somalia,"$25,747,000,000",2023,155,Africa
South Africa,south-africa,"$865,402,000,000",2023,33,Africa
South Sudan,south-sudan,"$20,010,000,000",2017,158,Africa
Spain,spain,"$2,279,000,000,000",2023,15,Europe
Sri Lanka,sri-lanka,"$287,132,000,000",2023,63,South Asia
Sudan,sudan,"$123,565,000,000",2023,92,Africa
Suriname,suriname,"$11,976,000,000",2023,163,South America
Sweden,sweden,"$665,016,000,000",2023,41,Europe
Switzerland,switzerland,"$733,779,000,000",2023,37,Europe
Syria,syria,"$100,066,000,000",2022,99,Middle East
Taiwan,taiwan,"$1,143,000,000,000",2019,30,East and Southeast Asia
Tajikistan,tajikistan,"$46,467,000,000",2023,130,Central Asia
Tanzania,tanzania,"$233,786,000,000",2023,70,Africa
Thailand,thailand,"$1,516,000,000,000",2023,21,East and Southeast Asia
Timor-Leste,timor-leste,"$5,992,000,000",2023,176,East and Southeast Asia
Togo,togo,"$25,750,000,000",2023,154,Africa
Tokelau,tokelau,"$7,711,583",2017,224,Australia and Oceania
Tonga,tonga,"$724,972,000",2022,211,Australia and Oceania
Trinidad and Tobago,trinidad-and-tobago,"$43,358,000,000",2023,134,Central America and the Caribbean
Tunisia,tunisia,"$153,152,000,000",2023,83,Africa
Turkey (Turkiye),turkey-turkiye,"$2,953,000,000,000",2023,12,Middle East
Turkmenistan,turkmenistan,"$131,576,000,000",2023,91,Central Asia
Turks and Caicos Islands,turks-and-caicos-islands,"$1,030,000,000",2023,209,Central America and the Caribbean
Tuvalu,tuvalu,"$57,054,000",2023,222,Australia and Oceania
Uganda,uganda,"$135,803,000,000",2023,88,Africa
Ukraine,ukraine,"$560,111,000,000",2023,46,Europe
United Arab Emirates,united-arab-emirates,"$718,950,000,000",2023,38,Middle East
United Kingdom,united-kingdom,"$3,728,000,000,000",2023,10,Europe
United States,united-states,"$24,977,000,000,000",2023,2,North America
Uruguay,uruguay,"$105,096,000,000",2023,97,South America
Uzbekistan,uzbekistan,"$356,797,000,000",2023,56,Central Asia
Vanuatu,vanuatu,"$999,162,000",2023,210,Australia and Oceania
Venezuela,venezuela,"$269,068,000,000",2018,64,South America
Vietnam,vietnam,"$1,354,000,000,000",2023,24,East and Southeast Asia
Virgin Islands,virgin-islands,"$4,900,000,000",2022,187,Central America and the Caribbean
West Bank,west-bank,"$27,446,000,000",2023,151,Middle East
Yemen,yemen,"$73,630,000,000",2017,107,Middle East
Zambia,zambia,"$76,129,000,000",2023,106,Africa
Zimbabwe,zimbabwe,"$56,249,000,000",2023,121,Africa
